nome,sku,preco_atual,preco_original,estoque,marca,categorias,descricao,imagens,url
Grama São Carlos - Por M²,PD092251-5H4TBJHY5,24.9,34.9,Disponível,Planta Delivery,,"A Grama São Carlos possui folhas pequenas e largas e é muito parecida com a Grama Batatais, porém sem pêlos. Porém, ela possui mais folha do que raiz quando comparada à Grama Batatais. A Grama São Carlos é um tipo de grama sorrateira e perene, muito indicada para praças e áreas ensolaradas e meia-sombreadas. NOME CIENTÍFICO Axonopus compressus; NOMES POPULARES Grama-são-carlos, Grama_curitibana, Grama-missioneira, Grama-sempre-verde, Grama-tapete FAMÍLIA Poaceae; CLIMA Equatorial, Subtropical, Temperado, Tropical; ORIGEM América do Sul, Brasil A grama-são-carlos tem folhas largas, lisas e sem pêlos. É estolonífera, isto é, o caule fica acima do solo e emite as raízes para baixo e as folhas para cima. De coloração verde vibrante a pleno sol e um pouco mais escura à sombra, há ainda uma forma variegada de folhas com margens branco-creme. É indicada para jardins públicos, industriais, residenciais, principalmente sítios e fazendas. Adaptada ao clima frio, vai bem a pleno sol e a meia-sombra, formando um tapete bem denso. Vendido comumente na forma de placas ou mudas. Deve ser cultivada em solo fértil, com regas freqüentes pois não resiste à seca. Não tolera sombra total. O corte deve-ser feito sempre que a altura chegar a 3 centímetros. Multiplica-se pela divisão dos estolões enraizados. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado. Obs.: ENTREGA DESTE PRODUTO PODERÁ LEVAR UM PRAZO DE ENTREGA MAIOR QUE O NORMAL, DEVIDO AO ITEM SER ADQUIRIDO SOMENTE POR ENCOMENDA.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/147088698/ebe6d7e9b0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/147088698/874fb37445.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138469834/75e03f24ba.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/137593375/4aacf023f6.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/137585039/47a2e38cb7.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/137566542/8eb8d56f8f.jpg,https://www.plantadelivery.com.br/5h4tbjhy5-grama-esmeralda-por-m2
Acalifa ou Rabo de Gato - Caixa com 15 unidades,PD092256,49.9,49.9,Disponível,Planta Delivery,,"Acalifa – Rabo de Gato (Caixa com 15 unidades) – Cores vibrantes para seu jardim A Acalifa, popularmente conhecida como Rabo de Gato , é uma planta ornamental que conquista pela exuberância de suas flores alongadas e aveludadas em tons vibrantes de vermelho. Ideal para jardins tropicais e projetos paisagísticos cheios de cor, ela também pode ser cultivada em vasos e jardineiras, desde que em ambientes bem iluminados. Essa caixa com 15 unidades é perfeita para quem deseja preencher canteiros ou criar bordaduras de impacto com uma planta que floresce praticamente o ano inteiro. 🌟 Frete grátis para entregas na cidade do Rio de Janeiro! Entrega rápida e com qualidade garantida. 🌿 Características da Planta Característica Detalhes Nome científico Acalypha reptans Nome popular Acalifa, Rabo de Gato Origem Ásia tropical Ambiente ideal Pleno sol ou meia-sombra Tamanho de crescimento Até 30 cm de altura Luminosidade Sol pleno a luz filtrada Rega Frequente (solo sempre úmido, mas não encharcado) Toxicidade Levemente tóxica para pets (se ingerida) 🪴 Sobre as mudas Tamanho das mudas : entre 10 e 20 cm Importante : Por se tratar de um produto natural, o tamanho informado corresponde ao mínimo enviado. Algumas mudas podem ser entregues com tamanho acima do especificado , conforme disponibilidade do viveiro. 📦 Informações importantes Imagens meramente ilustrativas. Vasos ornamentais não inclusos. As mudas são enviadas com torrão protegido , prontas para o replantio. É fundamental realizar o replantio imediato após o recebimento para garantir o bom desenvolvimento da planta. Plantas com flores ou frutos não têm garantia de serem enviadas floridas ou frutificadas , pois variam de acordo com a estação e o estágio de desenvolvimento no momento do envio. Frete grátis disponível apenas para entregas na cidade do Rio de Janeiro . Entrega rápida, com embalagens seguras e plantas saudáveis. 🌺 Dica de cultivo A Acalifa se desenvolve melhor em ambientes quentes e úmidos. Para estimular uma fl",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138471948/5dda229ef5.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138471948/acalifa-qj8iyicbs2.webp | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138471948/9d0eb06147.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139806253/71ee0adbaa.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138463610/445f2cb3f5.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/135821395/73051d5151.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138551260/9d80068874.jpg,https://www.plantadelivery.com.br/acalifa-ou-rabo-de-gato-caixa-com-15-unidades
"Acerola - 1,00 m a 1,50 m",PD102212,21.65,129.9,Disponível,Planta Delivery,,"Acerola – Frutífera tropical rica em vitamina C A Acerola é uma frutífera tropical muito apreciada por seus frutos pequenos, vermelhos e extremamente ricos em vitamina C . Ideal para cultivo em quintais, hortas domésticas, pomares e jardins comestíveis , ela se adapta bem a vasos grandes ou diretamente no solo, produzindo frutas deliciosas e nutritivas ao longo do ano, principalmente em regiões quentes. Além de seu valor alimentar e medicinal, a aceroleira também oferece sombras agradáveis e flores discretas, contribuindo com beleza e funcionalidade para o paisagismo. 🌟 Frete grátis para entregas na cidade do Rio de Janeiro! Entrega rápida e com qualidade garantida. 🌿 Características da Planta Característica Detalhes Nome científico Malpighia emarginata Nome popular Acerola Origem América Central e do Sul Ambiente ideal Pleno sol Tamanho de crescimento Até 3 metros de altura Luminosidade Sol pleno Rega Regular, mantendo o solo úmido Toxicidade Não tóxica 🪴 Sobre as mudas Tamanho das mudas : entre 1,00 m e 1,50 m Importante : Por se tratar de um produto natural, o tamanho informado corresponde ao mínimo enviado. Algumas mudas podem ser entregues com tamanho acima do especificado , conforme disponibilidade do viveiro. 📦 Informações importantes Imagens meramente ilustrativas. Vasos ornamentais não inclusos. As mudas são enviadas com torrão protegido , prontas para o replantio. É fundamental realizar o replantio imediato após o recebimento para garantir o bom desenvolvimento da planta. Plantas com flores ou frutos não têm garantia de serem enviadas floridas ou frutificadas , pois variam de acordo com a estação e o estágio de desenvolvimento no momento do envio. Frete grátis disponível apenas para entregas na cidade do Rio de Janeiro . Entrega rápida, com embalagens seguras e plantas saudáveis. 🌱 Dica de cultivo A Acerola se desenvolve melhor em sol pleno e solo bem drenado , com regas regulares. Para aumentar a frutificação, adube a planta periodicamente com matéria org",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138701808/d5208c5bd3.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138701808/9ed34a373d-vcs1e64qvg.webp | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138701808/aceroleira-01_1-6nyxmfci84.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138701808/d59755dcb0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138461939/cdc11e1a40.jpg,https://www.plantadelivery.com.br/acerola
Agave,,179.9,89.9,Utilizamos cookies para que você tenha a melhor experiência em nosso site. Para saber mais acesse nossa página de,,,"Possuímos ampla variedade de plantas, vasos e artigo de jardinagem. Com atendimento personalizado, também oferecemos serviços e vendas para varejo e atacado, para pessoas físicas e jurídicas.  Nossa missão é entregar uma experiência do começo ao fim!",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139267799/3013710908.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624745/134879e521.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611281/14e7284859.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611170/2a9ae5cddd.jpg,https://www.plantadelivery.com.br/agave
"Agave Americana ou Agave Azul - 0,30cm a 0,50cm",PD0922175,29.98,179.9,Disponível,Planta Delivery,,"Agave Americana – Rústica, escultural e resistente ao sol A Agave Americana , também conhecida como Agave Azul , é uma planta ornamental muito usada em jardins de baixo consumo de água , projetos de paisagismo contemporâneo e até em áreas com solo pobre ou pedregoso. Com folhas rígidas e pontiagudas em tom verde-azulado, ela é altamente resistente ao sol pleno e à seca, sendo ideal para jardins tropicais, rochosos ou desérticos . Seu visual escultural valoriza canteiros, calçadas, vasos grandes e entradas de imóveis, conferindo modernidade e sofisticação ao paisagismo. 🌟 Frete grátis para entregas na cidade do Rio de Janeiro! Entrega rápida e com qualidade garantida. 🌿 Características da Planta Característica Detalhes Nome científico Agave americana Nome popular Agave Azul, Agave Americana Origem México e América Central Ambiente ideal Externo, pleno sol Tamanho de crescimento Até 1,5 m de altura por 2 m de diâmetro Luminosidade Sol pleno Rega Esporádica (planta xerófita) Toxicidade Tóxica para pets e crianças, se ingerida 🪴 Sobre as mudas Tamanho das mudas : entre 0,30 m e 0,50 m Importante : Por se tratar de um produto natural, o tamanho informado corresponde ao mínimo enviado. Algumas mudas podem ser entregues com tamanho acima do especificado , conforme disponibilidade do viveiro. 📦 Informações importantes Imagens meramente ilustrativas. Vasos ornamentais não inclusos. As mudas são enviadas com torrão protegido , prontas para o replantio. É fundamental realizar o replantio imediato após o recebimento para garantir o bom desenvolvimento da planta. Plantas com flores ou frutos não têm garantia de serem enviadas floridas ou frutificadas , pois variam de acordo com a estação e o estágio de desenvolvimento no momento do envio. Frete grátis disponível apenas para entregas na cidade do Rio de Janeiro . Entrega rápida, com embalagens seguras e plantas saudáveis. 🌱 Dica de cultivo Plante o Agave diretamente no solo ou em vasos grandes, com substrato bem drenado . Evite l",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624745/134879e521.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624745/sg-11134201-7rd6o-lvfa84inkq7179-dsnbdd63uc.jpeg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624745/488a5aea45.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139267799/3013710908.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611170/2a9ae5cddd.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611281/14e7284859.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138546998/8343c377e5.jpg,https://www.plantadelivery.com.br/agave-americana-ou-agave-azul
Agave Palito,PD0922143,28.31,169.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,50cm a 0,80cm A agave palito é uma espécie de planta suculenta com flores geminadas ou flores gêmeas, é uma planta xerófita (plantas que desenvolveram resistência a climas secos e desérticos), pertencente à família das agaváceas ou asparagaceae. Ela é originaria de uma pequena região no México, com uma distribuição bem localizada, próximo de Narayit. Seu habitat natural situa-se nas florestas de carvalho, em solo rochoso próximos a cursos d’água, entre altitudes de 1000 e 1500 m acima do nível do mar, o lugar de sua origem lhe confere uma certa rusticidade com clima úmido no inverno e no verão, porém seco durante a primavera. Em cultivo, a agave palito mostra uma certa tolerância às chuvas constantes, o que lhe permite o seu cultivo em jardins de quase todo o país. NOME CIENTÍFICO Agave geminiflora NOMES POPULARES Agave Palito FAMÍLIA Asparagaceae CLIMA Tropical ou subtropical ORIGEM México ALTURA Pode chegar a 1,5 metros. LUMINOSIDADE Sol pleno. CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611170/2a9ae5cddd.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611170/335685d61c.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139267799/3013710908.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624745/134879e521.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611281/14e7284859.jpg,https://www.plantadelivery.com.br/agave-palito
Agave Variegata / Furcréia,PD0922144,24.98,149.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,50cm a 0,80cm A furcréia é uma espécie de porte arbustivo, suculenta e de notável aspecto escultural. Ela é muito semelhante aos agaves, com a diferença de ter menos espinhos. Suas folhas são longas, rígidas, fibrosas, glabras, mucronadas, suculentas e dispostas em roseta. Elas também podem ser recurvadas ou retilíneas, acrescentando assim ainda mais interesse escultórico à planta. Quando apresenta espinhos, estes ficam mais próximos da base das folhas. O caule é curto e dificilmente se vê, pois está sempre recoberto pelas folhas. Em plantas com as folhas podadas é possível visualizá-lo. Após muitos anos, a planta produz uma longa inflorescência paniculada, que cresce muito rápido e pode chegar a 12 metros de altura. A inflorescência é ramificada e desponta numerosas flores branco-esverdeadas, com forte perfume, que são avidamente procuradas por abelhas. Após a floração, tomam lugar na inflorescência pequenos bulbilhos, que podem ser utilizados na propagação da planta. A partir desse momento a planta começa a decair até morrer. Quando formados, o que é raro, os frutos são do tipo cápsula, deiscentes e com sementes pretas e achatadas. A espécie típica apresenta folhas de cor verde clara, no entanto, as variedades mais populares nos jardins são a Mediopicta, Variegata e Mediopicta Sport, que são variegadas com estrias longitudinais de cor branco ou creme. No paisagismo a furcréia é figura constante nos jardins contemporâneos e minimalistas, combinando com as linhas ousadas ou retas dos prédios modernos. Ela é muito valorizada em espaços limpos, com gramados ou forrações sólidas, geralmente em pequenos grupos ou linhas, com bom espaçamento. Também é interessante em jardins litorâneos e tropicais, pontuando caminhos ou em outras opções de destaque. Utilize-a de forma a enaltecer suas cores e formas. Dificilmente se presta como pano de fundo a outra espécie. Também pode ser plantada em vasos e jardineiras. Curiosidade: Da mesma forma que os agaves, ",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611281/14e7284859.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611281/e48db396e9.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/139267799/3013710908.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624745/134879e521.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138611170/2a9ae5cddd.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138537441/4c2e717b7c.jpg,https://www.plantadelivery.com.br/agave-variegata
Aglaonema Creta - Pote 12,PD092284,19.9,89.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,20 cm a 0,40 cm Aglaonema é um gênero com cerca de 50 espécies e diversas variedades, muito cultivadas em ambientes internos. As aglaonemas apresentam textura herbácea e são pequenas, com altura variando entre 20 a 150 cm. Elas apresentam folhas grandes, coriáceas, glabras, espessas, geralmente verdes, mas de tonalidades e padrões de manchas diversas. Suas inflorescências são axilares, com espata e espádice de coloração branca ou branca-esverdeada e têm pouca importância ornamental. Os frutos em geral avermelhados podem ser decorativos em muitas espécies. Sua folhagem exuberante e tropical é mais ou menos compacta, de acordo com a cultivar. É perfeita para decoração de interiores, em escritórios, shoppings, salas de estar. No entanto necessitam de boa ventilação e não suportam ambientes secos ou com ar-condicionado. São rústicas, e não necessitam de cuidados muito especiais, sendo apropriadas para jardineiros iniciantes. Podem ser plantadas em vasos, jardineiras, jardins de inverno, ou até mesmo em canteiros no jardim, formando belos maciços ou bordaduras. Devem ser cultivadas sempre à sombra (bastante luz difusa), em substrato rico em matéria orgânica, bem drenável e irrigado regularmente. Adaptam-se a ambientes internos ou externos, desde que estes sejam aquecidos, pois não toleram o frio ou geadas. Nativas de florestas densas, elas apreciam o calor e a umidade dos climas tropicais e subtropicais. No inverno as regas podem ser esparsas. O replantio anual na primavera deixa a planta mais vigorosa. NOME CIENTÍFICO Aglaonema spp NOMES POPULARES Aglaonema, Café-de-salão, Falso-café-de-salão FAMÍLIA Araceae CLIMA Equatorial, Oceânico, Subtropical, Tropical ORIGEM Ásia, Filipinas, Oceania ALTURA Pode chegar a 1,5 metros. LUMINOSIDADE Luz Difusa CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo ",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138524804/4b0dae4fc9.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174064565/55000e72c0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174061194/326e1ae25f.jpg,https://www.plantadelivery.com.br/aglaonema-creta-pote-12
Alamanda Roxa,PD092210,89.9,89.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,50cm a 0,80cm A alamanda-roxa é uma planta muito rústica e bonita. Ela apresenta ramos longos e arroxeados e folhas ovaladas, coriáceas, verdes e brilhantes. As flores são grandes, de cores envelhecidas, que incluem o rosa, o roxo, o amarelo e o creme, de acordo com a variedade. As floração pode se estender por todo o ano, mas é mais abundante nos meses quentes. No jardim pode ser plantada isolada ou em grupos, formando maciços e renques. No entanto é mais comum sua utilização como trepadeira, quando tutorada adequadamente sobre suportes, através de amarrios. Desta forma pode cobrir arcos, treliças e caramanchões, entre outros. Por ser uma planta tóxica, deve se ter o cuidado de mantê-la longe do alcance de crianças pequenas e filhotes de cães. Deve ser cultivada a pleno sol, em solo fértil, leve, rico em matéria orgânica e com regas regulares. Devido ao peso da ramagem vigorosa, deve-se evitar seu uso em treliças e cercas mais frágeis. Seu crescimento é moderado. Não tolera o frio intenso. Multiplica-se por sementes e estacas. NOME CIENTÍFICO Allamanda blanchetii NOMES POPULARES Alamanda-roxa, Alamanda-cheirosa, Alamanda-rosa, Orelia, Rosa-do-campo. FAMÍLIA Apocynaceae CLIMA Equatorial, Subtropical, Tropical ORIGEM América do Sul, Brasil ALTURA Pode chegar a 3,6 metros. LUMINOSIDADE Sol Pleno CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138436066/31540ef9a0.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138436066/9fa9766673.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138434665/2809cc30a8.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138500352/a6bcb7cfcd.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138528165/8f00cbe122.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/238694666/alface-crespa-roxa-zu8vv62pax.png,https://www.plantadelivery.com.br/alamanda-roxa
Alface Crespa Roxa - Caixa com 15 unidades,2LRB3HX2F,44.9,44.9,Disponível,,,"Ficha Técnica Nome científico: Lactuca sativa Família: Asteraceae Categoria: Folhas e Flores, Medicinal, Plantas Hortícolas Clima: Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical Origem: Europa, Mediterrâneo Altura: 0.1 a 0.3 metros, 0.3 a 0.4 metros Luminosidade: Sol Pleno Ciclo de Vida: Anual",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/238694666/alface-crespa-roxa-zu8vv62pax.png | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/238694666/whatsapp-image-2023-10-26-at-10-32-08-4rul682v83.jpeg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174027508/53c931b15d.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138540579/b3e2c28a8c.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138528165/8f00cbe122.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138472068/c267e200f4.jpg,https://www.plantadelivery.com.br/alface-crespa-roxa-caixa-com-15-unidades
Alocasia Amazônica,PD240143,21.65,129.9,Disponível,,,"A Alocasia Amazônica é uma planta de características distintas, ideal para ambientes de semi sombra ou internos. Sua folhagem, em formato de coração e tom escuro, destaca-se pela beleza. Esta planta de fácil manutenção é nativa do Brasil, especificamente da região amazônica, e merece um lugar de destaque na decoração. TAMANHO 3 a 5 folhas, cerca de 25 a 40 cm de altura até a ponta da folha; ORIGEM Nativa da Amazônia; PROPRIEDADES Possui folhas em forma de seta, grandes nervuras em branco e prata, sobre o verde metálico intenso e brilhante; CULTIVO Planta ideal para o interior, necessitando apenas de luz difusa. Rega duas vezes na semana costuma ser suficiente. Antes de regar, verifique a umidade do solo colocando o dedo na terra; SUBSTRATO Indicamos terra vegetal, terra para rosas do deserto, húmus de minhoca e palha de arroz carbonizado. O uso de casca de pinus com carvão pode ajudar a tornar o solo mais drenado; Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas : Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/251730952/alocasia-amaz-nica-faqsv0jwyp.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/251730952/alocasia-amaz-nica-2-x66lznv5vc.jpg,https://www.plantadelivery.com.br/alocasia-amazonica
Alpínia Vermelha,PD0922173,89.9,89.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,50 cm a 0,70 cm De porte médio, a alpínia é uma planta que combina muito bem com paisagens tropicais. Produz inflorescências belíssimas, com flores pequenas de coloração branca e brácteas vermelhas ou róseas, em hastes eretas. As folhas são ornamentais também. Muito rústica, esta planta também é utilizada como flor de corte. Assim como outros gengibres, esta planta aprecia solos ricos em matéria orgânica e irrigados regularmente. Deve ser cultivada a pleno sol ou meia sombra. Multiplica-se por mudas que se formam nas brácteas ou por divisão das touceiras, tomando o cuidado de deixar uma boa parte de rizoma e folhas com cada muda. Não é resistente ao frio. NOME CIENTÍFICO Alpinia purpurata NOMES POPULARES Alpínia, Gengibre-vermelh o FAMÍLIA Zingiberaceae CLIMA Equatorial, Oceânico, Subtropical, Tropical ORIGEM Ásia, Indonésia, Oceania ALTURA Pode chegar a 1,8 metros. LUMINOSIDADE Meia Sombra, Sol Pleno CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624436/0e64fa33fa.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138624436/ec24ecfa68.jpg,https://www.plantadelivery.com.br/alpinia-vermelha
Amor agarradinho,PD092203,89.9,89.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,50cm a 0,80cm O amor-agarradinho tem efeito surpreendente, suas flores delicadas em formato de coração criam uma atmosfera romântica e atraem muitas abelhas. As inflorescências são compostas de muitas flores rosas ou brancas, dependendo da variedade, e se formam durante a primavera e o verão. É semilenhosa, mas não muito vigorosa, portanto se adapta a qualquer tipo de suporte, desde arcos, cercas até caramanchões. As folhas fecham bem a estrutura fornecendo sombra durante todas as estações. Devem ser cultivados a pleno sol em solo fértil, enriquecido com matéria orgânica. As adubações periódicas estimulam uma floração intensa. Multiplica-se por sementes, estaquia e alporquia. NOME CIENTÍFICO Antigonon leptopus NOMES POPULARES Amor-agarradinho, Amor-entrelaçado, Bela-mexicana, Cipó-coral, Cipó-mel, Coralita, Georgina, Lágrima-de-noiva, Mimo-do-céu, Rosa-da-montanha, Rosália, Viuvinha FAMÍLIA Polygonaceae CLIMA Continental, Equatorial, Mediterrâneo, Subtropical, Tropical ORIGEM América do Norte, México ALTURA Pode chegar a 12 metros. LUMINOSIDADE Sol Pleno CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138325970/70f5cea5ca.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138325970/90bb6b5caf.jpg,https://www.plantadelivery.com.br/amor-agarradinho
Antúrio - Pote 15,PD092283,54.9,54.9,Disponível,Planta Delivery,,"Tamanho aproximado: 0,20 cm a 0,40 cm O antúrio é uma planta tradicional no paisagismo. Fez parte de uma moda antiga e teve o brilho completamente renovado recentemente com o lançamento de novas cultivares. Utilizada há muito tempo em vasos para decorar interiores, hoje em dia pode compor maciços e bordaduras em jardins externos também. É um curinga para os cantinhos menos iluminados do jardim, onde outras flores jamais iriam prosperar. O melhoramento genético proporcionou diversas variedades, com portes diferentes e flores de coloração vermelha, rosa, salmão, chocolate, verde e branca. Exigente quanto à umidade, deve ser plantada sempre à meia-sombra, em substratos ricos em matéria orgânica, como a fibra de côco misturado com terra vegetal, com regas freqüentes e adubação adequada para florescer. Apesar destes cuidados, é uma planta rústica e de baixa manutenção. O replantio a cada 3 ou 4 anos revigora as plantas velhas. Multiplica-se por estaquia. NOME CIENTÍFICO Anthurium Andraeanum NOMES POPULARES Antúrio FAMÍLIA Araceae CLIMA Equatorial, Subtropical, Tropical ORIGEM América do Sul, Colômbia ALTURA Pode chegar a 0,60 metros LUMINOSIDADE Luz Difusa, Meia Sombra CICLO DE VIDA Perene. Imagem Ilustrativa: A planta segue com vaso simples ou torrão. Instruções Básicas Caro cliente, assim que receber seu produto, retire-o da embalagem e o coloque em seu lugar definitivo de plantio, lembrando sempre que o mesmo deverá ter o dobro do tamanho do torrão da planta para que haja espaço para colocar substrato adicional para um melhor desenvolvimento e não esqueça de ler atentamente as informações de sua planta para um melhor cuidado.",https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138523339/adc1b57b01.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138523339/2eb2fe5b9a.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138523339/6cd9f6a1b5.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/177261274/78ae55c854.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174033709/146cc62d69.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/138609282/03311cb540.jpg | https://cdn.awsli.com.br/1200x1200/1982/1982052/produto/174064565/55000e72c0.jpg,https://www.plantadelivery.com.br/anturio-pote-15
